gname,glong,glat,vlsr
G010.464+00.029,10.4641,0.0291089,70.2
G010.472+00.017,10.4726,0.0176017,68.5
G010.574-00.412,10.5746,-0.411472,0.1
G010.585-00.051,10.5859,-0.0505372,42.2
G010.585-00.051,10.5859,-0.0505372,65.8
G010.596-00.381,10.5965,-0.380113,0.7
G010.621-00.318,10.6211,-0.317772,-10.0
G010.623-00.385,10.6232,-0.384127,0.2
G010.629-00.342,10.6296,-0.341889,-9.1
G010.629-00.339,10.6297,-0.338341,-9.1
G010.638-00.434,10.638,-0.433445,-0.2
G010.689+00.031,10.689,0.031,34.5
G010.769-00.487,10.769,-0.486437,-0.2
G010.859-00.125,10.8595,-0.124739,-11.4
G010.859-00.125,10.8595,-0.124739,60.2
G010.877+00.084,10.8777,0.0842608,18.1
G010.964+00.006,10.9646,0.00669485,17.7
G011.035+00.065,11.0351,0.0658829,12.1
G011.074-00.228,11.074,-0.227624,34.0
G011.080-00.378,11.0804,-0.378,1.0
G011.112-00.402,11.1122,-0.401111,2.1
G011.170-00.066,11.1707,-0.0656114,21.7
G011.182-01.063,11.1826,-1.0625,25.1
G011.524-00.111,11.5244,-0.110088,28.1
G011.573+00.345,11.5735,0.345411,1.3
G011.646+00.205,11.646,0.205,56.8
G011.662-01.692,11.662,-1.69151,18.3
G011.731-00.009,11.731,-0.00830938,24.4
G011.746-00.137,11.7463,-0.136365,59.8
G011.769+00.567,11.7695,0.567522,26.6
G011.770-00.039,11.77,-0.039,2.1
G011.773-00.041,11.7739,-0.0401092,2.1
G011.776-00.149,11.7765,-0.148665,57.7
G011.795-00.029,11.7957,-0.0283,8.0
G011.795-00.029,11.7957,-0.0283,57.0
G011.816+00.242,11.816,0.24237,17.8
G011.840-00.191,11.8408,-0.190968,9.0
G011.840-00.191,11.8408,-0.190968,49.7
G011.888-00.224,11.8886,-0.223207,46.5
G011.888-00.224,11.8886,-0.223207,4.0
G011.893+00.748,11.8932,0.748848,25.1
G011.904-00.142,11.9046,-0.14102,42.1
G011.935-00.613,11.9356,-0.612777,40.3
G011.944-00.039,11.9443,-0.0381286,40.1
G011.995-00.246,11.9953,-0.245555,47.2
G012.064-00.284,12.064,-0.284,48.4
G012.145-00.001,12.145,-0.000273284,49.0
G012.184-00.114,12.1843,-0.113312,53.6
G012.184-00.114,12.1843,-0.113312,27.0
G012.192-00.105,12.1921,-0.104091,53.6
G012.192-00.105,12.1921,-0.104091,27.0
G012.193-00.145,12.1938,-0.144055,53.6
G012.193-00.145,12.1938,-0.144055,27.0
G012.193-00.112,12.1939,-0.111632,53.6
G012.193-00.112,12.1939,-0.111632,27.0
G012.194-00.129,12.1943,-0.128936,53.6
G012.194-00.129,12.1943,-0.128936,27.0
G012.199-00.034,12.199,-0.034,45.1
G012.202-00.110,12.202,-0.109784,53.6
G012.202-00.110,12.202,-0.109784,27.0
G012.208-00.106,12.2089,-0.10508,53.6
G012.208-00.106,12.2089,-0.10508,27.0
G012.215-00.120,12.2156,-0.11936,53.6
G012.215-00.120,12.2156,-0.11936,27.0
G012.217-00.139,12.2174,-0.138036,53.6
G012.217-00.139,12.2174,-0.138036,27.0
G012.228-00.115,12.2285,-0.114824,53.6
G012.228-00.115,12.2285,-0.114824,27.0
G012.302+00.416,12.3022,0.416113,29.9
G012.311-00.059,12.311,-0.0588008,30.5
G012.311-00.059,12.311,-0.0588008,67.3
G012.418+00.504,12.4181,0.504362,34.1
G012.429-00.049,12.4299,-0.0481079,-18.4
G012.474-01.140,12.4744,-1.13966,41.0
G012.476-01.102,12.476,-1.10193,41.0
G012.523-00.611,12.5232,-0.610114,40.0
G012.594-00.089,12.5944,-0.0880002,16.4
G012.594-00.089,12.5944,-0.0880002,32.5
G012.629+00.070,12.6297,0.07,-7.8
G012.629+00.070,12.6297,0.07,15.9
G012.632-00.018,12.6324,-0.0173121,33.5
G012.685+00.008,12.6854,0.00832007,34.1
G012.726-00.219,12.7268,-0.218884,33.8
G012.726-00.219,12.7268,-0.218884,57.7
G012.742+00.390,12.7427,0.39075,20.7
G012.761-00.133,12.7616,-0.132303,57.8
G012.774+00.330,12.7748,0.330739,15.8
G012.804-00.207,12.8045,-0.206402,36.3
G012.805-00.196,12.8054,-0.195961,34.9
G012.813-00.200,12.8139,-0.199473,34.9
G012.825+00.542,12.825,0.542,21.4
G012.907-00.277,12.9075,-0.276076,31.7
G013.131-00.149,13.1315,-0.148337,40.6
G013.186+00.042,13.1864,0.0427825,54.1
G013.215-00.145,13.2159,-0.144117,50.0
G013.222+00.082,13.2225,0.082,54.0
G013.322+00.096,13.322,0.096,42.9
G013.322+00.096,13.322,0.096,12.3
G013.384+00.066,13.3844,0.0665649,18.3
G013.523-00.195,13.5231,-0.194053,11.3
G013.631+00.192,13.631,0.192,33.0
G013.709-00.243,13.709,-0.243,8.6
G013.709-00.243,13.709,-0.243,36.3
G013.709-00.243,13.709,-0.243,97.8
G013.725-00.024,13.7257,-0.0230478,36.5
G013.776-00.795,13.7762,-0.794796,24.5
G013.789+00.189,13.7894,0.189117,36.9
G013.880+00.285,13.88,0.285141,51.5
G013.890-00.475,13.89,-0.475,13.0
G013.899-00.014,13.899,-0.0132122,32.6
G013.992-00.131,13.9926,-0.130706,36.0
G014.000-00.206,14.0007,-0.205146,40.7
G014.060-00.521,14.0608,-0.520589,20.6
G014.103+00.091,14.103,0.091,9.0
G014.174+00.022,14.1741,0.022,20.1
G014.207-00.110,14.2075,-0.109385,35.3
G014.207-00.193,14.2079,-0.192098,36.1
G014.221-00.545,14.2214,-0.544069,19.7
G014.246-00.074,14.2468,-0.073295,61.9
G014.246-00.074,14.2468,-0.073295,47.9
G014.246-00.074,14.2468,-0.073295,31.7
G014.303+00.140,14.3039,0.140676,30.2
G014.331-00.640,14.3316,-0.639459,27.6
G014.391-00.023,14.391,-0.023,54.7
G014.391-00.023,14.391,-0.023,23.1
G014.392-00.106,14.3924,-0.105843,38.9
G014.478-00.006,14.478,-0.00599999,24.4
G014.480-00.110,14.4808,-0.109177,42.7
G014.481-00.662,14.4818,-0.661281,11.9
G014.489+00.020,14.489,0.02,28.3
G014.576+00.091,14.5762,0.0913289,37.1
G014.667-00.477,14.667,-0.476732,27.5
G015.010+00.049,15.0103,0.0495242,63.5
G015.010+00.049,15.0103,0.0495242,26.5
G015.075-00.124,15.0756,-0.123037,50.5
G015.097-00.729,15.0978,-0.728749,16.8
G015.212+00.167,15.2121,0.167533,69.2
G015.520+00.188,15.52,0.188,27.8
G015.676-00.288,15.6766,-0.2877,61.8
G015.883+00.550,15.8836,0.55,18.3
G016.243+00.039,16.244,0.0393767,44.1
G016.285-00.171,16.2859,-0.170658,49.5
G016.311-00.476,16.311,-0.476,4.5
G016.313-00.147,16.3138,-0.146849,49.5
G016.360-00.211,16.3602,-0.210623,46.4
G016.363-00.559,16.3639,-0.558019,42.7
