gname,glong,glat,vlsr
G028.286-00.371,28.2866,-0.370123,76.9
G028.287-00.365,28.2875,-0.36479,76.9
G028.291+00.011,28.2917,0.0116667,44.4
G028.296+00.002,28.2961,0.00259998,44.4
G028.305-00.390,28.3053,-0.39,77.3
G028.312-00.031,28.312,-0.0301744,35.8
G028.312-00.031,28.312,-0.0301744,92.4
G028.320+01.243,28.32,1.243,-39.2
G028.394+00.076,28.394,0.076,86.2
G028.407+00.496,28.4074,0.496666,89.8
G028.451+00.001,28.4512,0.00121103,-13.8
G028.451+00.001,28.4512,0.00121103,97.1
G028.512+00.303,28.5126,0.303207,39.7
G028.512+00.303,28.5126,0.303207,-0.2
G028.512+00.303,28.5126,0.303207,100.2
G028.581+00.145,28.581,0.145,-13.0
G028.590-00.352,28.5908,-0.351893,89.0
G028.600-00.376,28.6005,-0.375682,89.0
G028.605-00.013,28.6057,-0.0122491,92.8
G028.605-00.013,28.6057,-0.0122491,41.9
G028.607+00.019,28.6078,0.0196828,96.6
G028.610+00.015,28.6104,0.0155161,96.6
G028.638+00.194,28.6384,0.194448,103.8
G028.651+00.026,28.6517,0.0265059,102.4
G028.656+00.491,28.6563,0.491229,28.4
G028.679+00.044,28.6794,0.0441886,100.7
G028.688+00.177,28.6884,0.177798,87.6
G028.774+00.285,28.7748,0.285932,104.5
G028.801+00.170,28.801,0.170229,107.6
G028.823-00.226,28.823,-0.226,90.6
G028.823+00.236,28.8238,0.236306,98.8
G028.861+00.065,28.8616,0.0652992,101.7
G028.907+00.224,28.9073,0.224067,28.9
G028.983-00.604,28.983,-0.60327,52.6
G029.000+00.084,29.0005,0.0849681,67.7
G029.019+00.165,29.0198,0.165924,56.0
G029.065+00.387,29.0655,0.387057,21.9
G029.088-00.675,29.0887,-0.674275,47.3
G029.110-00.023,29.1107,-0.0228411,52.4
G029.134-00.145,29.134,-0.145,48.6
G029.165-00.035,29.1655,-0.0349122,61.7
G029.348-00.426,29.3489,-0.425516,91.6
G029.615-00.599,29.615,-0.599,74.6
G029.770+00.219,29.77,0.219,-31.3
G029.816+02.225,29.8164,2.22568,38.7
G029.828-00.168,29.828,-0.1671,101.4
G029.950-00.809,29.9506,-0.808968,86.1
G029.956-00.020,29.956,-0.0191033,96.8
G029.979-00.587,29.9798,-0.586918,90.9
G030.022-00.042,30.022,-0.0419604,94.9
G030.026+00.109,30.0262,0.109459,100.6
G030.036-00.167,30.0368,-0.166114,98.2
G030.051+00.180,30.0511,0.180145,95.1
G030.055-00.339,30.055,-0.338773,100.6
G030.136+00.255,30.1367,0.255557,37.9
G030.136+00.255,30.1367,0.255557,96.8
G030.211+00.428,30.2115,0.428802,-15.4
G030.212-00.157,30.2129,-0.156152,66.2
G030.212-00.157,30.2129,-0.156152,98.9
G030.234-00.139,30.234,-0.139,63.4
G030.234-00.139,30.234,-0.139,98.5
G030.248-00.102,30.2486,-0.101121,67.9
G030.248-00.102,30.2486,-0.101121,102.9
G030.249+00.243,30.249,0.243,8.9
G030.252+00.053,30.252,0.0531637,65.2
G030.255+00.052,30.255,0.0527,65.2
G030.311-00.215,30.3114,-0.214185,106.1
G030.321-00.210,30.3214,-0.209185,106.1
G030.338-00.252,30.338,-0.251044,102.5
G030.348+00.090,30.3487,0.0903694,106.7
G030.365-00.490,30.3653,-0.489669,101.8
G030.374+00.026,30.374,0.026,44.4
G030.377+00.106,30.3775,0.106541,102.0
G030.380-00.110,30.38,-0.11,99.8
G030.442-00.004,30.4429,-0.00329027,92.7
G030.442-00.004,30.4429,-0.00329027,109.2
G030.442-00.004,30.4429,-0.00329027,38.9
G030.463-00.191,30.463,-0.191,84.4
G030.463-00.191,30.463,-0.191,107.5
G030.468+00.394,30.4683,0.394214,46.8
G030.468+00.394,30.4683,0.394214,15.2
G030.470-00.039,30.47,-0.039,42.7
G030.478-00.091,30.4783,-0.0909314,47.2
G030.478-00.091,30.4783,-0.0909314,78.7
G030.478-00.091,30.4783,-0.0909314,102.1
G030.533+00.021,30.5332,0.0210722,95.2
G030.533+00.021,30.5332,0.0210722,46.1
G030.545+00.027,30.5455,0.0272389,95.2
G030.545+00.027,30.5455,0.0272389,46.1
G030.547+00.014,30.5473,0.0142389,95.2
G030.547+00.014,30.5473,0.0142389,46.1
G030.585-00.097,30.5857,-0.0966244,102.5
G030.597+00.030,30.597,0.03,44.9
G030.599-00.344,30.5998,-0.3434,107.3
G030.613-00.617,30.6132,-0.616089,110.2
G030.613-00.617,30.6132,-0.616089,87.8
G030.642+00.050,30.6424,0.0505542,99.5
G030.758-00.047,30.7589,-0.0461206,89.8
G030.760+00.206,30.76,0.206,98.5
G030.795-00.275,30.795,-0.274773,103.6
G030.796+00.183,30.7963,0.183849,102.1
G030.797+00.165,30.797,0.165815,40.4
G030.838+00.114,30.838,0.114,35.8
G030.847+00.140,30.8471,0.140847,39.6
G030.867+00.113,30.8671,0.113261,36.3
G030.867+00.113,30.8671,0.113261,102.9
G030.867+00.008,30.8674,0.00853195,44.8
G030.867+00.008,30.8674,0.00853195,96.1
G030.869-00.108,30.8698,-0.107644,100.1
G030.881+00.074,30.8814,0.0742611,96.5
G030.905+00.013,30.9054,0.0139619,38.8
G030.905+00.013,30.9054,0.0139619,96.3
G030.906+00.161,30.9065,0.161147,99.3
G030.951+00.541,30.9513,0.541,24.5
G030.955+00.078,30.9553,0.07852,102.0
G030.958+00.594,30.9589,0.594293,23.4
G031.016-00.039,31.0169,-0.0388153,101.2
G031.020+00.168,31.0209,0.168119,39.7
G031.020+00.168,31.0209,0.168119,87.1
G031.020+00.168,31.0209,0.168119,107.6
G031.034+00.449,31.0343,0.449794,26.4
G031.051+00.084,31.051,0.0841728,20.1
G031.054+00.491,31.0544,0.491089,27.9
G031.058+00.092,31.0588,0.0921728,20.1
G031.065+00.045,31.0651,0.0459056,35.4
G031.068+00.049,31.0688,0.0494056,35.4
G031.079+00.101,31.0798,0.101506,20.1
G031.102+00.128,31.1026,0.128465,40.0
G031.102+00.128,31.1026,0.128465,105.3
G031.102+00.128,31.1026,0.128465,85.0
G031.135+00.129,31.1357,0.129356,45.5
G031.138+00.285,31.1382,0.285631,104.7
G031.156-00.148,31.1566,-0.147185,43.6
G031.159+00.045,31.159,0.0455671,35.6
G031.165-00.105,31.165,-0.104172,41.4
G031.207+00.098,31.207,0.098,45.5
G031.207+00.098,31.207,0.098,102.6
G031.241-00.109,31.2418,-0.108945,26.5
G031.244-00.113,31.2441,-0.112834,26.5
G031.268+00.478,31.2683,0.478682,-6.3
G031.269+00.064,31.2696,0.0640109,104.7
G031.279+00.061,31.2793,0.0618485,104.7
G031.355-00.101,31.3557,-0.100511,86.5
G031.365-00.033,31.3652,-0.0320081,32.7
G031.365-00.033,31.3652,-0.0320081,95.5
G031.394-00.258,31.3942,-0.257778,86.2
G031.403-00.268,31.4032,-0.267387,86.2
G031.412+00.309,31.4125,0.309017,100.9
G031.416-00.142,31.4168,-0.141815,28.8
G031.470-00.344,31.47,-0.344,88.8
G031.534-00.134,31.5344,-0.133526,93.0
G031.534-00.134,31.5344,-0.133526,51.1
G031.577+00.103,31.5778,0.103799,99.9
G031.610+00.335,31.6109,0.33511,24.4
G031.612-00.226,31.612,-0.225756,40.8
G031.677+00.179,31.677,0.179,107.7
G031.727+00.698,31.727,0.698,-39.2
G031.806-00.115,31.806,-0.114834,36.3
G031.881+01.417,31.881,1.41704,54.4
G031.882-00.111,31.8826,-0.110018,42.8
G031.882-00.111,31.8826,-0.110018,111.9
G031.882-00.111,31.8826,-0.110018,95.6
G031.907-00.352,31.9078,-0.351904,44.4
G031.915+00.196,31.9155,0.196756,99.9
G032.030+00.048,32.0305,0.0489719,91.1
G032.057+00.077,32.058,0.077,96.3
G032.099+00.089,32.1,0.0894476,93.0
G032.152+00.131,32.1522,0.131229,95.0
G032.181+00.015,32.1814,0.0153027,94.4
G032.272-00.226,32.272,-0.226,21.5
G032.423+00.077,32.423,0.0779651,42.5
G032.473+00.204,32.4731,0.204177,47.0
G032.561-00.140,32.5619,-0.139253,21.1
G032.561-00.140,32.5619,-0.139253,97.1
G032.581-00.077,32.5813,-0.077,30.0
G032.582+00.001,32.582,0.0010239,77.4
G032.587-00.330,32.5874,-0.32978,103.8
G032.661-00.072,32.6614,-0.0714536,103.3
G032.733+00.209,32.733,0.209,16.1
G032.761-00.151,32.761,-0.151,30.1
G032.775-00.048,32.7752,-0.0478172,105.6
G032.800+00.190,32.8,0.19,14.9
G032.823+00.072,32.8235,0.072445,99.5
G032.835+00.017,32.835,0.0171339,98.5
G032.870-00.427,32.8704,-0.426732,50.6
G032.928+00.606,32.928,0.606067,-38.3
G032.982-00.338,32.9828,-0.337732,49.3
G032.985-00.548,32.985,-0.548,55.7
G032.990+00.040,32.99,0.04,89.0
G033.007+01.150,33.0078,1.1508,-57.6
G033.051-00.078,33.051,-0.0776739,93.8
G033.080+00.073,33.0801,0.0733111,86.9
G033.134-00.093,33.134,-0.0927046,87.4
G033.142-00.088,33.1423,-0.0874183,87.4
G033.176-00.016,33.1764,-0.0154728,105.8
G033.205-00.013,33.205,-0.0124881,105.8
G033.263+00.066,33.2631,0.0667561,98.3
G033.419-00.005,33.419,-0.00441098,76.5
G033.643-00.229,33.6433,-0.228111,102.9
G033.715-00.415,33.7155,-0.414976,53.3
G033.753-00.063,33.753,-0.063,101.7
G033.809-00.190,33.809,-0.19,40.3
G033.809-00.186,33.8098,-0.185417,40.3
G033.813-00.150,33.8131,-0.149024,50.0
G033.882+00.057,33.882,0.057,40.8
G033.884+00.058,33.884,0.0583,40.8
G033.914+00.107,33.9147,0.107873,99.0
G033.941-00.039,33.9418,-0.0387992,57.2
G033.987-00.012,33.9878,-0.0113775,38.3
G033.987-00.012,33.9878,-0.0113775,55.8
G033.991-00.005,33.9912,-0.00429416,38.3
G033.991-00.005,33.9912,-0.00429416,55.8
G034.026-00.058,34.0263,-0.0577561,56.3
G034.041+00.052,34.041,0.0528611,36.4
G034.046+00.140,34.0467,0.140802,51.5
G034.089+00.438,34.089,0.438034,32.6
G034.104-00.046,34.1046,-0.0457956,49.0
G034.133+00.471,34.133,0.471,34.6
G034.158+00.147,34.158,0.147632,57.3
G034.198-00.591,34.198,-0.591,52.4
G034.256+00.136,34.2563,0.136417,53.1
G034.333+00.212,34.3331,0.212866,62.9
G034.404+00.227,34.4044,0.227512,60.1
G034.422-00.181,34.4228,-0.180591,82.9
G034.422-00.181,34.4228,-0.180591,46.7
G034.422-00.181,34.4228,-0.180591,73.7
G034.443+00.103,34.4437,0.103642,82.9
G034.443+00.103,34.4437,0.103642,61.5
G034.542+00.062,34.5422,0.0622783,50.0
G034.550-01.110,34.55,-1.11,44.7
G034.591+00.244,34.5914,0.24416,-19.4
G034.686+00.068,34.686,0.068,52.0
G034.756+00.022,34.7565,0.0220442,86.1
G034.757-00.669,34.757,-0.668219,52.1
G034.924-00.082,34.9246,-0.0818661,47.2
G034.940+00.073,34.94,0.0736303,45.6
G034.997+00.330,34.997,0.330887,57.2
G035.040-00.500,35.04,-0.5,48.0
G035.051-00.520,35.0514,-0.519722,48.0
G035.063+00.330,35.0637,0.330091,57.2
G035.075-01.519,35.0758,-1.51804,44.8
G035.099-00.243,35.0991,-0.24257,53.4
G035.126-00.755,35.126,-0.754265,34.5
G035.187+00.892,35.1874,0.892653,76.1
G035.197-01.756,35.1974,-1.75581,46.0
G035.243-01.750,35.2436,-1.74993,46.0
G035.258+00.118,35.2588,0.11889,38.1
G035.349+00.004,35.3496,0.00489807,54.9
G035.380-01.856,35.3805,-1.85509,46.7
G035.429-00.260,35.4297,-0.26,55.0
G035.467+00.004,35.4671,0.00404307,58.6
G035.467+00.139,35.4678,0.139167,80.9
G035.543+00.006,35.5435,0.00655501,57.5
G035.559-00.824,35.5598,-0.823364,60.7
G035.571+00.071,35.5713,0.0718661,47.6
G035.576-00.032,35.5769,-0.0311506,52.5
G035.579+00.065,35.5795,0.0659633,47.6
G035.623-00.198,35.6237,-0.197255,48.7
G035.649-00.053,35.6497,-0.0522822,51.9
G035.948-00.149,35.9488,-0.148488,50.9
G036.192-00.171,36.1927,-0.170708,82.6
G036.267+00.481,36.2675,0.481346,73.3
G036.267+00.697,36.2679,0.697923,76.5
G036.344+00.040,36.3441,0.0403039,76.9
G036.347-01.662,36.3476,-1.66112,63.5
G036.405+00.021,36.4052,0.0219166,53.3
G036.459-00.183,36.459,-0.182732,72.7
G036.620-00.557,36.62,-0.556236,54.1
G036.870+00.462,36.87,0.462,-27.3
G036.918+00.482,36.9187,0.4825,-34.1
G036.993-00.231,36.993,-0.230378,79.7
G037.028-00.202,37.0287,-0.20192,81.3
G037.029-00.025,37.029,-0.0241817,80.0
G037.029-00.025,37.029,-0.0241817,38.0
G037.032+00.139,37.032,0.139172,41.0
G037.032+00.139,37.032,0.139172,82.2
G037.175-00.440,37.1758,-0.43911,36.1
G037.200-00.430,37.2,-0.43,38.0
G037.259-00.083,37.259,-0.083,40.8
G037.278-00.226,37.2782,-0.225712,41.8
G037.344+00.684,37.3441,0.684052,45.6
G037.347-00.147,37.347,-0.146406,53.2
G037.362-00.234,37.3628,-0.233579,39.4
G037.370-00.368,37.3702,-0.367478,44.1
G037.445-00.212,37.4456,-0.211021,63.9
G037.469-00.105,37.469,-0.104142,58.7
G037.485+00.513,37.485,0.513,4.1
G037.497+00.530,37.4977,0.53024,11.6
G037.544-00.115,37.5444,-0.114425,48.9
G037.641-00.112,37.6416,-0.111756,52.3
G037.677+00.155,37.6778,0.155636,88.9
G037.750-00.110,37.7507,-0.109691,49.7
G037.754+00.560,37.7544,0.56,18.3
G037.763-00.212,37.7631,-0.211196,65.8
G037.816-00.379,37.816,-0.379,63.9
G037.820+00.414,37.82,0.414,22.3
G037.838-00.510,37.8382,-0.509352,62.8
G037.868-00.601,37.868,-0.601,47.7
G037.872-00.399,37.872,-0.398034,59.2
G037.872-00.257,37.8727,-0.256589,60.5
G038.045-00.034,38.0453,-0.0339435,58.3
G038.121-00.226,38.1212,-0.225756,83.8
G038.123+01.660,38.1237,1.66071,39.7
G038.353-00.135,38.3533,-0.13404,70.5
G038.365-00.062,38.3651,-0.0618122,83.7
G038.365-00.062,38.3651,-0.0618122,58.9
G038.550+00.163,38.55,0.163,26.4
G038.643-00.227,38.643,-0.227,63.8
G038.652+00.087,38.652,0.087,-40.0
G038.738-00.140,38.738,-0.14,60.9
G038.840+00.495,38.8401,0.495294,-43.2
G038.861-00.135,38.8611,-0.134445,64.5
G038.875+00.308,38.875,0.308,-15.1
G038.926-00.389,38.926,-0.388799,42.1
G038.978-00.269,38.9783,-0.268432,51.5
G039.170-00.037,39.1709,-0.0369761,18.5
G039.176-00.399,39.1765,-0.398244,55.5
G039.183-01.422,39.1832,-1.42157,-54.9
G039.196+00.224,39.196,0.224872,-21.6
G039.225-00.053,39.225,-0.053,20.2
G039.248-00.064,39.2488,-0.0631578,23.0
G039.294-00.311,39.2946,-0.310927,53.7
G039.388-00.143,39.3886,-0.142545,17.3
G039.515+00.511,39.5158,0.511681,-30.8
G039.544-00.366,39.5448,-0.365622,55.2
G039.607-00.021,39.6071,-0.0207597,8.3
G039.630-00.107,39.6302,-0.106306,27.9
G039.672-00.459,39.6728,-0.458374,14.7
G039.728-00.396,39.728,-0.396,58.3
G039.856-00.184,39.8564,-0.183712,60.0
G039.864+00.645,39.8646,0.645622,-40.9
G039.873-00.177,39.8736,-0.176336,60.0
G039.883-00.346,39.883,-0.346,58.9
G039.887-01.273,39.8878,-1.27204,44.3
G039.900-01.321,39.9008,-1.32057,44.3
G039.924-00.378,39.9246,-0.377799,68.6
G040.141+01.577,40.1411,1.57707,27.5
G040.430+00.697,40.43,0.697512,20.1
G040.503+02.537,40.5032,2.537,21.7
G040.797-00.132,40.7978,-0.131218,67.2
G040.855-00.224,40.8555,-0.223991,55.5
G040.855-00.224,40.8555,-0.223991,19.7
G040.965-00.621,40.9657,-0.620493,60.9
G041.074-00.162,41.0749,-0.161373,59.4
G041.128-00.559,41.1287,-0.558132,65.5
G041.129+00.112,41.1293,0.112971,62.6
G041.235+00.367,41.235,0.367,71.3
G041.246-00.168,41.2465,-0.167914,56.9
G041.304+01.997,41.304,1.997,-53.7
G041.375+00.032,41.3758,0.0322075,59.5
G041.382+00.037,41.3825,0.0378136,59.5
G041.512+00.021,41.5123,0.0218039,17.7
G041.516-00.142,41.5169,-0.141488,57.9
G041.659-00.020,41.6593,-0.01947,18.7
G041.725-00.004,41.7254,-0.00359597,45.2
G041.740+00.095,41.7403,0.0959569,11.1
G041.750+00.034,41.7501,0.0347492,45.5
G041.762+01.479,41.7625,1.47993,-54.8
G041.809+01.502,41.8095,1.50251,-52.6
G041.880+00.492,41.8805,0.49285,16.1
G041.927-00.125,41.9276,-0.124882,18.1
G041.929+00.030,41.9291,0.0301289,20.7
G042.008+00.352,42.008,0.352732,-40.3
G042.058+01.002,42.0581,1.00239,-23.6
G042.065+00.244,42.0652,0.244242,17.0
G042.103-00.623,42.1035,-0.623,66.0
G042.111-00.444,42.1115,-0.443763,53.4
G042.136-00.079,42.1369,-0.079,41.4
G042.186-00.218,42.1861,-0.217304,29.2
G042.204+00.038,42.204,0.0384881,57.5
G042.217-00.580,42.2173,-0.579474,72.0
G042.390-00.381,42.3902,-0.380753,65.0
G042.434-00.275,42.4343,-0.274682,61.5
G042.562-00.107,42.5627,-0.106874,67.2
G043.100-00.503,43.1004,-0.502354,53.1
G043.149+00.028,43.1492,0.0287009,8.6
G043.154-00.039,43.1541,-0.0386552,8.6
G043.165-00.031,43.1656,-0.0300512,8.6
G043.170-00.004,43.1708,-0.00301056,8.6
G043.175-00.519,43.1758,-0.518487,59.1
G043.183-00.027,43.1831,-0.0263637,8.6
G043.185-00.525,43.1859,-0.52463,59.1
G043.237-00.044,43.2376,-0.0439789,9.4
G043.240+00.131,43.2401,0.131495,12.3
G043.432+00.516,43.4324,0.516861,-12.8
G043.523-00.648,43.5232,-0.647674,55.4
G043.730+00.114,43.7304,0.114593,73.1
G043.774+00.057,43.7741,0.0575817,70.5
G043.792-00.122,43.7928,-0.121344,43.3
G043.794-00.129,43.7945,-0.128511,43.3
G043.818+00.395,43.818,0.39507,-10.5
G043.890-00.780,43.89,-0.78,53.4
G043.894+00.197,43.8947,0.197637,-38.1
G043.968+00.993,43.9684,0.993217,-21.6
G043.999+00.978,43.9995,0.978668,-17.1
G044.094-00.015,44.0949,-0.01443,66.6
G044.224+00.085,44.2249,0.0853236,59.6
G044.331-00.837,44.3316,-0.836935,62.5
G044.375-00.076,44.3752,-0.0756675,56.7
G044.379-00.327,44.379,-0.326935,61.1
G044.418+00.535,44.4185,0.535575,-55.1
G044.501+00.332,44.501,0.332177,-43.0
G044.521+00.385,44.5212,0.385209,-49.7
G044.552-00.239,44.5528,-0.238967,58.4
G044.689-00.579,44.689,-0.578795,41.9
G044.811-00.492,44.8117,-0.491656,44.8
G044.904-00.733,44.9042,-0.732037,65.6
G045.002-00.611,45.0025,-0.610401,61.3
G045.067+00.140,45.0674,0.140746,59.2
G045.070+00.132,45.0703,0.132307,59.2
G045.118+00.144,45.1186,0.144318,56.7
G045.121+00.133,45.1219,0.133024,56.7
G045.128+00.131,45.1289,0.131001,56.7
G045.131+00.127,45.1315,0.12782,56.7
G045.132+00.146,45.1326,0.146433,56.7
G045.133+00.132,45.1335,0.132977,56.7
G045.195-00.439,45.195,-0.439,72.9
G045.197+00.740,45.197,0.740258,-35.0
G045.391-00.725,45.391,-0.724344,52.5
G045.453+00.044,45.453,0.0445711,54.2
G045.475+00.130,45.475,0.13,55.6
G045.503+00.495,45.503,0.495928,-35.9
G045.542-00.006,45.542,-0.006,55.0
G045.634-00.016,45.6344,-0.0155248,9.2
G045.689-00.235,45.6895,-0.2346,19.1
G045.773-00.378,45.7732,-0.377198,51.0
G045.825-00.291,45.825,-0.290092,61.2
G045.838-00.296,45.8388,-0.295499,61.2
G045.882-00.088,45.8828,-0.0872469,18.2
G045.882-00.088,45.8828,-0.0872469,62.4
G045.933-00.403,45.9334,-0.402258,63.9
G046.033-00.097,46.0335,-0.0962617,63.5
G046.069+00.216,46.0695,0.216491,12.4
G046.088+00.254,46.0881,0.25467,13.4
G046.173+00.533,46.1739,0.533346,6.3
G046.203+00.532,46.2034,0.532174,4.6
G046.213+00.547,46.2134,0.54798,5.8
G046.495-00.241,46.495,-0.240377,57.7
G046.948+00.371,46.948,0.371103,-44.4
G046.965+00.315,46.9659,0.315437,-41.7
G047.028+00.216,47.0284,0.21627,56.9
G047.094+00.492,47.0945,0.49225,-54.5
G047.100+00.479,47.1,0.47975,-56.9
G047.181+00.320,47.1814,0.320043,52.0
G047.294+00.270,47.2941,0.270902,59.9
G048.417+00.117,48.4177,0.117586,16.8
G048.456+00.123,48.4564,0.123744,16.6
G048.542+00.464,48.5426,0.464657,7.2
G048.547-00.005,48.5477,-0.00472556,19.2
G048.599+00.044,48.5992,0.0447947,18.1
G048.604+00.022,48.6041,0.0226671,18.1
G048.630+00.230,48.63,0.23,9.4
G048.719+01.147,48.7192,1.14759,-28.5
G048.833-00.037,48.8337,-0.0364253,53.1
G048.833-00.037,48.8337,-0.0364253,18.3
G048.922-00.285,48.9226,-0.284344,65.9
G049.002-00.303,49.0028,-0.302037,66.9
G049.051-00.255,49.0517,-0.254205,64.1
G049.077-00.375,49.0777,-0.374516,67.9
G049.163-00.066,49.163,-0.066,60.4
G049.201-00.365,49.2013,-0.364902,67.8
G049.384-00.298,49.384,-0.298,53.8
G049.399-00.490,49.3995,-0.489492,59.3
G049.407-00.193,49.407,-0.193,48.6
G049.428-00.464,49.4283,-0.463758,60.5
G049.484-00.391,49.4846,-0.390379,56.0
G049.489-00.378,49.4896,-0.377467,56.0
G049.501-00.524,49.5012,-0.523726,63.6
G049.589-00.370,49.589,-0.369231,57.0
G049.592-00.456,49.5928,-0.455198,64.2
G049.690-00.166,49.6908,-0.165791,57.0
G049.733-00.633,49.733,-0.632952,62.4
G049.828+00.366,49.828,0.366,4.4
G049.840+00.367,49.8403,0.367968,4.4
G049.997-00.130,49.9972,-0.129139,38.5
G049.997-00.087,49.9975,-0.0864506,66.8
G050.032+00.605,50.0326,0.605993,-1.8
G050.038-00.274,50.0387,-0.27382,60.9
G050.079+00.571,50.079,0.571,-1.1
G050.137-00.660,50.137,-0.659031,72.4
G050.262-00.409,50.2628,-0.408592,10.3
G050.287-00.392,50.2877,-0.391181,10.3
G050.298+00.674,50.2982,0.674099,26.4
G050.317-00.421,50.3172,-0.420131,10.3
G050.318+00.675,50.3184,0.675085,25.9
G050.489+00.992,50.4892,0.992612,57.1
G050.785+00.167,50.7851,0.16779,47.3
G051.010+00.060,51.01,0.0603028,42.2
G051.203-00.739,51.2039,-0.738083,44.3
G051.401-00.890,51.401,-0.889666,72.8
G051.610-00.357,51.61,-0.357,41.1
G051.681-00.256,51.681,-0.256,60.4
G051.760+00.790,51.7603,0.790688,3.2
G051.779+00.713,51.779,0.713983,0.6
G051.831+00.462,51.8313,0.462656,5.1
G052.001+01.602,52.0016,1.60211,-48.5
G052.098+01.042,52.098,1.04241,36.3
G052.160+00.708,52.16,0.708484,7.9
G052.174-00.567,52.1749,-0.566514,47.6
G052.201+00.752,52.2014,0.7521,8.7
G052.232+00.735,52.2325,0.735032,-3.0
G052.256+00.702,52.256,0.702626,7.4
G052.398-00.591,52.398,-0.590268,67.2
G052.537-00.946,52.5378,-0.945898,59.2
G052.750+00.334,52.7509,0.33465,11.2
G052.766+00.333,52.7667,0.333822,11.2
G052.799-00.534,52.7995,-0.533708,43.5
G052.980+00.133,52.9806,0.133656,1.8
G053.018+00.028,53.018,0.028,4.1
G053.095+00.212,53.0951,0.21249,1.1
G053.175+00.150,53.175,0.15,8.3
G053.188+00.209,53.1885,0.209983,5.3
G053.541-00.011,53.541,-0.011,23.9
G053.644+00.014,53.6445,0.0146689,31.2
G053.822-00.057,53.822,-0.057,43.8
G053.932+01.324,53.9328,1.32476,29.7
G053.935+00.228,53.935,0.228266,38.0
G053.958+00.032,53.958,0.032,38.9
G054.093+01.748,54.0938,1.74845,-85.3
G054.099-00.068,54.0992,-0.0675482,42.8
G054.449+01.011,54.4491,1.01187,30.2
G054.490+01.579,54.4907,1.57914,-40.9
G054.490+00.930,54.4909,0.930019,31.1
G054.779+00.862,54.7793,0.862433,41.1
G055.114+02.422,55.114,2.422,-76.1
G055.153+00.124,55.1532,0.124102,31.9
G055.158-00.297,55.1582,-0.296897,33.7
G055.567+00.701,55.5679,0.701015,-0.2
G056.083-00.176,56.0834,-0.175406,45.5
G056.153+00.076,56.1536,0.076094,-2.4
G056.250-00.158,56.2507,-0.157128,35.3
G056.263-00.171,56.2637,-0.170995,35.3
G056.412+00.423,56.4121,0.423449,-3.5
G057.541-00.279,57.5417,-0.2789,6.3
G058.602+00.639,58.6025,0.639477,29.8
G058.769+00.648,58.7697,0.648976,30.0
G059.321-00.223,59.3212,-0.222233,26.6
G059.557-00.186,59.5571,-0.185479,29.4
G059.600+00.316,59.6,0.316329,29.0
G059.602+00.911,59.6025,0.91109,47.3
G059.796+00.241,59.7966,0.241232,-3.7
G059.803+01.228,59.8034,1.22898,-50.3
G060.592+01.572,60.5922,1.57231,-49.4
G060.659-00.031,60.659,-0.030677,-5.5
G060.881-00.135,60.8813,-0.134889,17.5
G061.144-00.891,61.144,-0.890901,2.0
G061.292-00.331,61.2923,-0.33057,-16.0
G061.431+02.081,61.4319,2.08177,-71.7
G061.467+00.380,61.4673,0.38,20.3
G061.473+00.094,61.4731,0.0948511,26.0
G061.668+00.946,61.6682,0.946671,-78.8
G061.720+00.863,61.7207,0.863345,-75.2
G061.756+00.846,61.7563,0.846593,-61.0
G062.577+02.389,62.5777,2.38931,-73.6
G062.728+00.617,62.7285,0.617686,1.0
G062.873+00.887,62.873,0.887767,22.4
G062.921+00.079,62.921,0.0794344,19.2
G063.052-00.332,63.0523,-0.331564,-9.3
G063.119+00.331,63.119,0.331434,18.4
G063.136+00.246,63.1364,0.2464,17.1
G063.164+00.449,63.1643,0.44943,16.8
G064.065+01.646,64.0657,1.64666,30.7
G064.130-00.475,64.1308,-0.474154,23.3
G066.746+00.850,66.7467,0.850436,25.2
G067.816+00.511,67.8163,0.51112,-3.1
G068.144+00.915,68.1448,0.915099,-64.7
G068.168+01.058,68.1681,1.05817,0.6
G069.922+01.511,69.9224,1.51198,-64.8
G070.099+01.629,70.0995,1.62947,-32.6
G070.280+01.583,70.2802,1.58369,-25.6
G070.293+01.599,70.2931,1.59931,-25.6
G070.304+01.595,70.3041,1.59573,-25.6
G070.329+01.589,70.3291,1.58998,-21.1
G070.673+01.190,70.6733,1.19034,1.8
G070.765+01.820,70.7658,1.8208,-76.5
G071.150+00.397,71.1506,0.397989,-12.9
G071.764+03.076,71.7642,3.07674,16.0
G072.845+00.235,72.8455,0.235009,18.2
G073.878+01.023,73.8785,1.02363,-51.2
G074.155+01.646,74.1556,1.64618,-34.1
G074.753+00.912,74.7536,0.912589,-51.6
G075.175-00.593,75.1751,-0.592441,-27.7
G076.139-00.303,76.1398,-0.302097,-30.5
G076.155-00.286,76.1553,-0.285279,-30.5
G077.431-00.015,77.4314,-0.0142166,-34.2
G077.439-00.007,77.4395,-0.00635638,-34.2
G077.608+00.554,77.6086,0.554137,-74.0
G078.777+01.695,78.7775,1.69518,-78.3
G079.293+01.296,79.293,1.296,-38.8
G079.434+01.262,79.4346,1.26296,-46.3
G079.869+01.180,79.8699,1.18034,-20.0
G079.963+00.580,79.9637,0.580277,18.1
G079.963+00.580,79.9637,0.580277,-14.3
G080.350+00.718,80.3507,0.718663,-65.1
G080.362+01.212,80.3621,1.21281,-12.8
G080.522+00.715,80.5226,0.715005,-25.0
